2024-04-13 15:15:30.239 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 20172 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 15:15:30.241 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 15:15:30.273 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 15:15:30.273 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 15:15:30.476 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 15:19:41.804 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 6396 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 15:19:41.806 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 15:19:41.837 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 15:19:41.837 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 15:19:42.041 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 15:19:54.020 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 13152 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 15:19:54.022 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 15:19:54.055 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 15:19:54.055 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
